id,user_screen_name,user_created_at,user_followers,user_friends,date
1418965464978310100,saumyadadoo,27/06/2009 10:01,2968,3661,24/07/2021 16:05
1418976894129689900,nileshtrivedi,1/05/2008 12:01,4021,4462,24/07/2021 16:50
1418980762146150100,aJPY? a?2aJPY? a?1aJPYEUR a?+a?^a?,0,A BRAVE SOLDIER WHO SERVE FOR NATION BY CRPF,11/02/2014 6:10,15
1418982990286310100,Ram__Rathod,a?oaJPY?a??a??a?? a?oa? 3/4 a??aJPY?a??a?oa??aJPY?a??a? 3/4  a?--aJPY?a?oea??a? 3/4 a?? a?-a? 3/4 a?oea?aa? 3/4 aoeOEi,?. . d??~d???d??(R)d??-d??! d??EURd??oed??-d??cd???d??cd??!d??- .,2/02/2020 8:53,588
1418983231257510100,vadabuoy, a?,a?|aJPY?a?ua??a?aaJPY?a??a? 3/4  a?!a?1aJPY?a??a? 3/4  a?ua?|a??aJPY?a??a??,29/06/2017 17:38,31
1419331606913950200,stripeyspotty,1/01/2012 8:39,3109,1595,25/07/2021 16:19
1419331622290150100,SilentFancyFox,?aEUR?dYOE^dY?odY?,| Mostly Art Retweets | Fancy Fox dY|S | Video Games | Movies | TV Shows | Feel Free to Chat! Telegram: SilentFancyFox,28/07/2014 5:06,38
1419331659262950100,StrangeKeith,18/11/2009 9:00,4720,1194,25/07/2021 16:20
1419331701004710100,naganosilver98, #LanguageLearning dY?-dY?.dY?adY?,dY?udY?1 #Photoshop dYZ? #Writing aoe? #Insomniac dYJPY',6/12/2020 3:03,45
1419331716372510200,pats_junkie,15/02/2012 20:03,2400,2434,25/07/2021 16:20
1419331744743009800,sportsbroad,27/01/2009 17:04,2548,1545,25/07/2021 16:20
1419331758416350200,dY~,0,Pessimistic and snarky Minnesota Vikings fan.  The opposite of an unapologetic ginger.,27/09/2013 14:02,213
1419331787864609800,edlover2k,17/03/2009 23:04,1194,3505,25/07/2021 16:20
1419331839169369900,amyselwyn,13/02/2009 13:57,2779,2385,25/07/2021 16:20
1419331896740249900,aalfabeet,?afGBP5i,?afGBPdYZ1,27/01/2018 7:44,152
1419331943699769900,FOX47News,29/05/2009 14:49,14175,2951,25/07/2021 16:21
1419331948980409900,Pippa35,27/07/2009 21:11,2888,1044,25/07/2021 16:21
1419331950632889900,Eruditivegirl,20/04/2015 21:54,2212,2234,25/07/2021 16:21
1419331963941529900,BeatleBrunch,21/09/2008 2:53,4153,1806,25/07/2021 16:21
1419332031444569900,jackhunter2020,W&L aEUR~24. Previously @westminsterwcat #TrueToAtlanta aoe?i,?,2/07/2016 2:59,345
1419332117725510100,KSGUpdates,Content- updates- and support for Red Velvet's all-rounder Kang Seulgi | @seulgi_zip,19/05/2014 12:47,102370,89
1419332129708769800,zafarwestern,15/05/2013 15:28,14743,12765,25/07/2021 16:22
1419332132380550100,chillpep,17/10/2012 19:01,1056,1408,25/07/2021 16:22
1419332208477830100,MpNkophe,25/11/2019 19:12,1200,1935,25/07/2021 16:22
1419332211795449900,Citizenkwarren,12/03/2010 18:46,8569,1322,25/07/2021 16:22
1419332239469510100,rkorny,23/02/2009 21:06,4596,4923,25/07/2021 16:22
1419332257739769900,LynneAShapiro,12/02/2009 8:00,1351,2179,25/07/2021 16:22
1419332305546470100,hanjangho76,19/06/2015 22:41,3776,5001,25/07/2021 16:22
1419332505543609900,,1,Having my way.,21/01/2014 2:51,669
1419332582651550200,KxBenson,1/02/2019 19:22,3515,1008,25/07/2021 16:23
1419332602800990200,,2,Hiking enthusiast & democrat,16/06/2020 22:54,537
1419332680160729900,BluePolitica,23/11/2016 0:08,38401,39441,25/07/2021 16:24
1419332737240990200,?dY'<dY?>> Go- team!,PRdY'(C)dY? 1/4 aEUR?dY'>> Raising 2 girls. Love traveling- the outdoors- running. (Personal account),5/06/2007 19:35,1180,1556
1419332774754910200,HillBeverlyhill,?Soccer- Me2,24/05/2013 4:58,31918,23935
1419332789367929900,CityNewsOttawa,14/09/2010 18:28,29808,1051,25/07/2021 16:24
1419332839800289800,DfsJarret,dY? 1/4 aEUR?a(TM),i,?,25/07/2018 23:44
1419332897312550100,DailyCaller,11/05/2009 18:31,789453,7463,25/07/2021 16:25
1419332906854489900,sportsresnews,?as 3/4 i,?a>3i,?,21/06/2015 6:00
1419332951091910100,Ian_yuko_tu,?aoe^i,? Aviation,21/12/2011 9:17,5762
1419333006603550200,zafarwestern,15/05/2013 15:28,14743,12765,25/07/2021 16:25
1419333012945350100,DProdiogy,4/05/2019 21:08,1314,2271,25/07/2021 16:25
1419333025901510100,Mandahl,22/04/2007 19:27,1029,4260,25/07/2021 16:25
1419333127302950100,washingtonpost,27/03/2007 11:19,18096426,1719,25/07/2021 16:26
1419333150824710100,LoudHouseFS,17/10/2013 20:19,3422,1553,25/07/2021 16:26
1419333228138310100,AlexMiglio,24/09/2010 17:36,8239,1557,25/07/2021 16:26
1419333321788510200,sshabein,19/05/2009 5:30,1426,1256,25/07/2021 16:26
1419333359260550100,ItsTotoTime_,TCS YESSIRdYOE,big cook little cook duo with black black #BlackLivesMatterdY'ZKairixFinna??i,?dY~?dYszdYJPY<dY??bleggghhhdY'?dY?a,7/07/2020 20:42
1419333381930849800,nbcwashington,2/06/2008 15:06,325290,1643,25/07/2021 16:27
1419333397365849900,unstablehigh,24/12/2018 22:34,14802,5207,25/07/2021 16:27
1419333433973729800,RApollos,12/05/2015 18:45,1154,3402,25/07/2021 16:27
1419333522502950100,beatrixcampbell,3/10/2009 20:04,12675,2957,25/07/2021 16:27
1419333533789670100,SportsbookBTC,?dY?EURdY?^dYZ 3/4 as 3/4 dY??dY?'a>3dY?" dY?? dYZ+-dY?+ Best in industry pre-LIVE betting via aY? https://t.co/r4ZcvPlRjI 18+ only dY"z,27/09/2013 22:57,27719,23855
1419333695081569800,rama_bhaktha,25/07/2019 1:58,1854,1202,25/07/2021 16:28
1419333738685670100,dY(TM),0,NA,4/10/2020 22:14,4
1419333738723430100,BrElizabethM,?aEUR?dYOE^#Geek #Wentworth #WOW #Trekkie #OITNB #BLM #Equality dYOEZdYOE! #ProChoice #VoteBlue #FBR.No porn,7/09/2009 4:07,4285,4941
1419333888405470200,CabbageTV,15/04/2010 23:32,3233,1723,25/07/2021 16:29
1419333909251230200,insidethegames,19/11/2008 10:16,33710,5741,25/07/2021 16:29
1419333914909409800,Frost_Deemon,30/06/2020 0:58,2315,2207,25/07/2021 16:29
1419334001995750100,DavidjHendy,6/08/2009 12:16,4709,2264,25/07/2021 16:29
1419337990237790200,bramsay11,19/09/2012 19:46,1170,1016,25/07/2021 16:45
1419337991131169800,AokiNegai,0,Call me Steph - local Kiseki apologist- magical girl sommelier- Ikuhara simp and Pokemon scrub - @Amashii dY'z,3/02/2015 21:34,282
1419338017463009800,thecathbishop,28/03/2014 20:23,3959,4674,25/07/2021 16:45
1419338118335929900,hanjangho76,19/06/2015 22:41,3776,5001,25/07/2021 16:45
1419338182706009900,OdedRechavi,25/02/2016 9:23,53074,1105,25/07/2021 16:46
1419338246270630100,schwingcat,16/09/2009 3:43,3237,2604,25/07/2021 16:46
1419338307616390100,qPDIxZVjWmXRbNS,,ae^?,5/10/2019 10:41,0
1419338315187289900,,Proud Dad of CRMO fighter! My personal account- I like to tweet about Rural Broadband in different form factors.,20/08/2009 20:16,2945,1662
1419338337106630100,0327LISOO,,ci,? GET BEHIND ME | lisa and jisooaEUR(TM)s bodyguard- attorney- manager- and creative director.,23/09/2019 16:08
1419338505499590100,__topeh,5/04/2012 10:21,3968,3644,25/07/2021 16:47
1419338550328409900,heatrockz,24/04/2009 22:27,1591,3367,25/07/2021 16:47
1419338743220089900,SammiLuiee,24/06/2020 17:27,1274,2107,25/07/2021 16:48
1419338819942369800,MikeLahrman,1/04/2009 3:20,1067,2722,25/07/2021 16:48
1419338845133350100,MarineauMary,17/08/2013 2:44,2450,3805,25/07/2021 16:48
1419338935755489800,tmccull603,2/04/2009 20:57,1673,3379,25/07/2021 16:49
1419338951085670100,justinkirkland4,9/06/2009 6:19,9861,1884,25/07/2021 16:49
1419338992668089900,JohannaMellis,18/07/2015 2:31,4990,4502,25/07/2021 16:49
1419339081687910100,hylandwx,5/02/2016 22:22,1133,1091,25/07/2021 16:49
1419339084191910100,nbcsandiego,22/07/2008 19:34,245975,4212,25/07/2021 16:49
1419339158544390100,Flyingtastic,23/01/2012 7:40,6100,1275,25/07/2021 16:50
1419339158640889900,guardian,5/11/2009 23:49,9824735,1072,25/07/2021 16:50
1419339205256350200,ItsTheSportNews,4/08/2015 20:58,21914,24104,25/07/2021 16:50
1419339245450270200,patwillfanclub,15/12/2020 4:18,2116,2103,25/07/2021 16:50
1419339356238750200,realTuckFrumper,8/07/2009 22:59,147635,100459,25/07/2021 16:50
1419339386123129900,?aEUR?dY"JPY,smta; track 13,21/05/2015 1:15,1303,1096
1419339445027809800,patwillfanclub,15/12/2020 4:18,2116,2103,25/07/2021 16:51
1419339489114209800,kris1010,25/02/2009 3:16,2875,1550,25/07/2021 16:51
1419339568097030100,ZyiteGadgets,15/07/2013 21:45,2999,4808,25/07/2021 16:51
1419339569556710100,tteokminnie,9572,ENG JPN KOR translator | ot7 | A 1/2  iooeeu- A 1/2  ae--JPYaeoe! | profile az(TM) https://t.co/QjfGWPB0ama EUR | NO REPOST without credit a EUR she/her,23/01/2018 15:17,193417
1419339732438369800,11AliveNews,31/03/2008 19:05,398773,2757,25/07/2021 16:52
1419339747764409900,stoicgirI,NA,19/05/2021 1:07,2928,118
1419339864529569800,tashaaaaaaa,26/11/2008 9:38,3034,1739,25/07/2021 16:52
1419339959492870100,McKenzieRadio,19/12/2009 23:22,4282,3604,25/07/2021 16:53
1419340021027550200,bethilou6,? all things GymnasticsaEURcI was a Class I Gymnast in 1980 dY?,dY?>>aEUR?a(TM)EURi,?,19/08/2014 14:23
1419340073187769900,SeanDowey,26/05/2009 21:09,5454,4520,25/07/2021 16:53
1419340095237369900,angelicatweeted,16/03/2009 9:55,1288,1811,25/07/2021 16:53
1419340121384550100,crustycobs,26/11/2013 1:20,1800,2712,25/07/2021 16:53
1419340150879009800,KIBUMV0RE,9/08/2020 3:56,2719,2125,25/07/2021 16:53
1419340274858270200,rahari2k,5/02/2012 12:43,1087,5000,25/07/2021 16:54
1419340282085190100,CertifiedDriven, SCaoe^i,?TX,27/09/2011 13:03,541
1419340287730649900,CrushedOre,22/09/2020 1:20,1022,1127,25/07/2021 16:54
1419340345008030200,jonk,IaEUR(TM)m hungry for more.,9/03/2007 18:21,4148,2592
1419340349386910200,cowgirlblues,?aEUR?dYOE^ a?EUR professional art-toucher a?EUR dY?<dY?>>aEUR?a(TM)EURi,? a?EUR probably yelling about anime a?EUR pfp https://t.co/GAZn6CySid,26/02/2009 20:27,58
1419340364272569900,K92radio,10/04/2009 17:05,12509,3386,25/07/2021 16:54
1419340417305249800,FIBA3x3,4/07/2011 6:35,55269,1371,25/07/2021 16:55
1419340420493049900,TheGreatRoh,23/11/2013 18:38,3757,4996,25/07/2021 16:55
1419340621500889900,?dYZ 3/4  @JudyMurray,Personal account. Director of @dalyrecruitment always seeking luxury hospitality Mgt professionals UK & Ireland.,14/12/2011 23:07,2369,1404
1419340643084769800,cornwallchar,17/01/2010 16:43,2500,1523,25/07/2021 16:55
1419340675884129800,Mr_Swift1594,8/06/2009 2:43,2544,2337,25/07/2021 16:56
1419340831689950200,nwlaguy,5/03/2010 17:48,4190,5001,25/07/2021 16:56
1419340878016089900,ListenToLeon,11/11/2007 20:35,4000,4625,25/07/2021 16:56
1419341213128350200,MichelleBruton,16/03/2009 18:13,10293,2968,25/07/2021 16:58
1419341215909150200,G0THL0VE,23/04/2020 17:31,2791,1370,25/07/2021 16:58
1419341242933150200,clairabellejp,7/05/2009 13:08,1449,1148,25/07/2021 16:58
1419341445148769800,sn_nba,29/04/2009 1:36,20584,1805,25/07/2021 16:59
1419341506528249900,MattZemek,25/08/2009 16:03,6762,7382,25/07/2021 16:59
1419341577470809900,GymCastic,9/09/2012 6:31,32169,1389,25/07/2021 16:59
1419341584932510200,TScottBrave,25/10/2012 15:33,1659,1766,25/07/2021 16:59
1419341610635169800,Beltrew,14/04/2009 12:54,117602,3985,25/07/2021 16:59
1419341615085209900,vGazza,,aEUR?a(TM),i,?- as 1/2 i
1419341615332729900,MissingNOLA,2/04/2009 19:14,1313,1587,25/07/2021 16:59
1419341679195270100,WGRZ,3/07/2008 13:14,192567,2055,25/07/2021 17:00
1419341696270310100,serviceone1,27/05/2011 19:51,1153,1747,25/07/2021 17:00
1419341849555169800,KabirFiraque,a|(R)a?EURa|?a| 1/4 a| 3/4  | Following Cinema- Mathematics- Puzzles- Science- Assam,6/12/2014 13:13,1808,653
1419341930522150100,IWF,9/10/2008 15:43,304414,170908,25/07/2021 17:01
1419341962113689900,RaiiMichelle,? #BlackLivesMatter. Never Sorry For Telling The TruthdY'OEdY? 1/2 . Visit Me a+~i,?,4/11/2011 7:46,1125
1419341987593990100,ugabev,17/03/2009 13:52,2511,3075,25/07/2021 17:01
1419342017520350200,ibkaikai,dY?+-,24/04/2010 4:19,9376,1725
1419342079977830100,kabumped,9/05/2016 20:45,1783,1458,25/07/2021 17:01
1419342155823390200,i,0,Lifes a Bitch wit a pretty Face but she Burnin,21/12/2009 4:15,468
1419342219287430100,Ibishblog,31/05/2009 14:25,31982,4004,25/07/2021 17:02
1419342267135910100,rossssc,14/01/2010 21:48,8018,7379,25/07/2021 17:02
1419342314753950200,jacob_knight112,16/12/2019 21:14,1146,1195,25/07/2021 17:02
1419342340053990100,just_whatever,dY?! born in USSR. RTs don't always mean agreement. Likes sometimes do. I occasionally do memes and speak too many languages.,7/08/2010 9:37,4765,503
1419342366595550200,i,0,Russian/British - Like GB News- TalkRADIO- Boddingtons bitter. - Brexiteer from day 1 - #BanHalalSlaughter,9/07/2021 5:43,274
1419342395565510100,dY~- they really last warning this olympics,today I smile,18/04/2009 0:28,4108,140
